product_id,product_name
1841bbb0-07cc-524a-a696-0f1aac447089,agricultural production
b5570a99-7759-5c83-955a-b36b37e84eed,water absorption plants
c89d7884-9568-55d1-a79f-9030cf7c7677,moisture absorption
f78816f2-b354-59d4-8175-59a2c6500f9a,accessories for watering systems
b06ae426-94d7-5186-90f8-99c70c0c09b3,agricultural products
009e5700-10e1-59a9-a5f5-bd7f3ba98928,marketing of frozen seafood
a49650cf-fdc2-5e4c-ae42-9c285985c1b8,environmental protection - machines and equipment
2f315128-0cd2-5249-98cb-180dc4c595c9,rock barriers
6e0f8f22-c019-51b4-9b8c-8a40dc0bb9f4,stone trap nets
f4f41dc9-d459-5adc-a294-7bca6edb531c,safety nets
590e196d-bd77-5afb-9b9b-e28a24ca64ec,steel avalanche barriers
2c4b30a9-124f-579f-93a2-246bad9556e1,rockfall fences
14603c43-58c0-5280-b83e-3f61c1aa5aa3,rockface sterilisation walls
072ddf45-75d4-5cc1-b2d8-78786e240acf,stationary
094a0ed0-b9aa-58dc-b173-2f05304eb613,office supplies
dc8dd35f-1cfc-5b00-bb7d-4aae64fb913b,tobacco and smokers items
c9a50c08-df53-5ce2-a680-1ebf98f08f4b,tobacco
c7753f3a-8de8-58f3-be8c-f4f4b3f831d6,crop planting and protection
24173c73-a080-5d2d-8c46-83a4742a3efe,chestnut and sweet chestnut
e0d5609e-82b1-515b-b969-2444c9ce909c,agricultural systems and equipment
e6426372-4b7b-5a67-ac59-7636ab5ee9fa,milk centrifugal
4f2fa8cb-e382-54c7-bd69-d6384747d8be,butter church
72695045-6158-5995-a7d1-ac102a5d7366,wicker fences
35f74f6b-c3c7-540b-be56-b8243f56e13a,road safety equipment and systems
99434682-e810-55b0-9757-f439d8ee8584,industrial resin coating
a13e1d16-10fc-5007-8463-097637dc23a2,tank lining
7db93cfd-011c-5082-a2c0-f51173af773a,environmental protection
6dc787b0-ddaf-5ffc-b3f8-6212e9b495f9,tank cleaning
c917e4d0-5299-566c-a16d-67f4ff999d31,epoch reins
d3172407-e37e-56b6-b3dd-b5cfc0ec3d22,ties and can
6e6cd81f-d3d5-5632-8655-362e3fa7afdd,metal packing
c8f28ddd-491e-59b8-99a3-3e2024ce2e39,metal boxes
e20a5a6a-4c94-5aa0-b3fb-9625a3a86993,metal bucket
fa5d13ad-95b5-5c04-95a6-72948a7e1294,bucket made from tinplate
1836a5c1-5aa9-5422-8927-ecc6e2425b4a,hobbocks
4fb3ea07-b440-5127-99d2-1dceeae2a60d,packing for food
daddd1d8-5e48-53a4-8bbe-7916cef76290,"mass, safety"
04f251ff-1686-5329-ba94-ba2013ee38fe,disposal gloves
dd682d3c-4e07-556d-8468-acf61fdbe762,sanitisers
2cac58f4-dd92-5b8e-a866-7c09e0e5a592,gloves for medical examinations
9b963274-c761-5a42-bb1c-12e0b08f44cb,toothbrushes
9a4367f5-3c82-55b3-995a-667562da0184,liquors and spirits
